,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,return_Open,return_High,return_Low,return_Close,return_Volume
121,1.8,1.95,-0.15,9,5,1.8,24,-0.02084073582228696,-0.011947390997683272,-0.0037584484519100902,0.01775576105816823,0.12229202853024868
122,1.13,1.33,-0.2,1,1,1.0,11,0.015885380971076613,0.009591857142857041,0.01650507187314587,-0.0068556380172701825,-0.43753148863445523
123,0.0,1.4,-1.4,0,1,0.0,5,0.0037303284856065044,-0.0019204012144652394,0.003865984635721409,0.010663533085998989,0.32328128750490315
124,2.0,0.0,2.0,1,0,0.0,4,-0.002698289476061655,-0.004556946950808549,-0.002516010321253148,-0.005453855928162166,-0.4148059336993598
125,0.0,1.29,-1.29,0,4,0.0,4,-0.005155929479706223,0.016022416236240122,-0.0010295686034762497,0.018193864474452814,0.4859683077295269
126,1.85,1.83,0.02,9,6,1.5,28,0.016574281609195385,0.009461792003459424,0.00742041125126458,0.008607213139522063,0.19101306524482076
127,1.87,2.03,-0.16,7,4,1.75,24,0.019332734729851753,0.010166663461284253,0.030792838244647847,0.015071380056105532,-0.17045998222951264
128,1.3,2.05,-0.75,4,7,0.57,20,0.011141903315006418,0.0030438263430934143,-0.0032751190298705435,-0.004178903761422936,-0.19741286973716732
129,1.61,2.0,-0.39,10,7,1.43,25,-0.012537367158039103,-0.002055733923666314,0.00029873543464375985,0.0018760552486780657,-0.031099219792629085
130,1.45,1.99,-0.54,2,6,0.33,12,0.0011407330541273186,-0.003384128796433239,0.0009456201190833902,-0.006209072093825374,-0.017396314126972512
131,2.1,1.76,0.34,1,4,0.25,9,0.0023778707897657014,-0.00344488182195124,-0.00954698920988506,-0.006198229996467464,-0.05994662425361563
132,1.5,1.7,-0.2,1,1,1.0,7,-0.01156470308949975,-0.0057777826019203005,-0.01747083143052286,-0.01676479426733435,0.47247413737480914
133,1.93,0.84,1.09,4,2,2.0,10,-0.008849995177000136,0.0005463567196191121,0.010883496545066373,0.0182685581704769,-0.19914699280883774
134,0.0,1.98,-1.98,0,3,0.0,12,-0.004287892916630454,0.007049240433631754,-0.004801885386180205,0.00667797774023704,0.44414790136666515
135,1.28,1.45,-0.17,2,2,1.0,9,0.025331785375143134,0.01138712905452044,0.025953614483832155,0.012970272213018497,-0.2370456124102801
136,2.0,0.0,2.0,7,0,0.0,14,0.01665185822021642,0.021104504302439597,0.01707920288574649,0.02135670552940505,0.08401200644463569
137,1.03,0.74,0.29,4,2,2.0,17,0.020315922334463776,0.006348448566139364,0.01114626916524708,-0.000669921989809863,0.02990909183455326
138,1.78,1.31,0.47,3,2,1.5,9,-0.004715838612870837,-0.004553469533681742,0.0009627611391029856,0.002298285873097994,-0.34329685970999024
139,0.0,2.1,-2.1,0,1,0.0,5,0.0016272135229784546,0.005003097250737998,0.003318216713517952,0.006592500038038018,-0.016157921671332676
140,2.26,1.46,0.8,7,5,1.4,23,0.027045160370178678,0.041627167487714,0.028759052599315993,0.03910588430868178,1.4577025755570685
141,0.0,1.37,-1.37,0,2,0.0,7,0.023587954229367325,0.0017751707034607822,0.016866272503681,0.00059369718029334,-0.5221433395685557
142,1.95,2.22,-0.27,5,5,1.0,19,-0.0077269169583200625,0.022309036907959934,-0.001649530324865367,0.017984357804939455,1.14068728343277
143,1.7,1.67,0.03,1,1,1.0,4,0.025285131119577198,0.0021333822317040063,0.024370114031027956,0.008160640045177692,-0.35211948981330476
144,1.34,0.0,1.34,3,0,0.0,7,0.00035742751514478144,8.869522402443764e-05,0.0005376388937063936,0.0029354919967463644,-0.31954352267123776
145,1.56,1.53,0.03,9,4,2.25,23,0.01545267734601996,0.00988905947227714,0.010881251168194828,0.004878021978260705,0.02618483984733566
146,1.66,1.65,0.01,6,13,0.46,50,-0.008752262446573345,-0.009792223590821658,-0.02436325581395349,-0.012180092513061402,0.18538271671363327
147,2.42,1.99,0.43,2,6,0.33,28,-0.0053243542346487205,-0.0023060575576294706,0.010261126226132289,0.002725165369688032,-0.09441648558022364
148,2.12,1.94,0.18,8,8,1.0,34,0.0032116691227657146,0.0065338832151176085,0.0034155317634072535,-0.0014702339378532825,0.009059582732911409
149,1.25,1.62,-0.37,9,8,1.13,37,-0.0035571143204595757,-0.006403122497874669,-0.00295607115112706,0.00236479563463865,-0.24136946155374528
150,1.62,1.89,-0.27,19,9,2.11,59,0.0030790004187506437,0.0010666755602963818,-0.006199155585088878,-0.010683280706357823,0.6352817927354275
151,1.52,1.52,0.0,12,9,1.33,47,-0.019217971816771984,0.003374134241812543,-0.004881774579561737,0.011248598425196876,-0.1841573157425852
152,2.08,1.43,0.65,21,10,2.1,67,0.02344995258719962,0.012300951817294514,0.01794228877766968,0.016062251318966547,0.319906507082518
153,1.62,1.29,0.33,7,5,1.4,33,0.008863636412991038,0.006206831728118756,0.015216363094900931,0.0044228806944430765,-0.007720051683910101
154,1.6,1.96,-0.36,16,9,1.78,53,0.014408702337023183,0.0033449477987628207,-0.005538126064434046,-0.011858586511494074,-0.09283676748183778
155,1.75,1.77,-0.02,17,10,1.7,46,-0.008531106121571708,0.004242944750767252,0.010165763086596113,0.018751383438138758,0.1818064469492391
156,2.13,1.68,0.45,21,13,1.62,88,0.01768943920566346,0.008277624309600329,0.013432403465090337,0.006452975369882985,-0.15624071582111465
157,1.44,1.8,-0.36,29,25,1.16,100,0.015450652957321287,0.015435887458844721,0.011354887805668179,0.014888773823691581,-0.024844270231924703
158,1.98,1.76,0.22,15,6,2.5,50,-0.004691390671342943,-0.003663386529267565,0.0008964482046187605,-0.0036039093866070404,-0.18328952608522497
159,1.67,1.83,-0.16,20,19,1.05,79,0.008153161146835952,0.008959857615491451,-0.007293363411299381,0.004127587058400772,0.4005149310499523
160,1.98,1.9,0.08,24,28,0.86,115,-0.010235402975741548,-0.0009215557246969874,0.008678796992481308,0.010679353624424515,0.13489687060429234
161,1.93,1.65,0.28,20,10,2.0,64,0.013703263466099624,0.0072533688619067505,0.009498705520241346,0.00440272967420019,-0.34695071318419257
162,1.46,1.33,0.13,13,7,1.86,35,0.005667472616835312,0.0069930361305361455,0.007004164527408596,0.004425131372731261,0.40599064197082346
163,1.83,1.61,0.22,23,20,1.15,97,0.003715332977922259,-0.0015708043526965199,-0.0025977961584410236,-0.0027015751949097666,-0.08832557414296216
